*25 R		63	125	250	500	1000	2000	4000	8000
100	100	6.7	6.8	7.1	11.6	33.1	34	15.4	9
100	150	5	5.4	6.2	10.6	29.2	29.4	14.2	8.6
100	200	4.2	4.7	5.7	10.1	27.1	27	13.5	8.4
100	250	3.8	4.4	5.4	9.7	25.9	25.5	13.1	8.3
150	150	3.6	4.1	5.2	9.5	25	24.6	12.8	8.2
150	250	2.7	3.2	4.4	8.5	21.4	20.6	11.6	7.8
150	300	2.5	3	4.2	8.3	20.5	19.5	11.3	7.7
150	400	2.3	2.7	3.9	7.9	19.3	18.2	10.9	7.6
200	200	2.5	3	4.2	8.3	20.5	19.5	11.3	7.7
200	300	2.1	2.4	3.7	7.6	18.1	16.9	10.4	7.4
200	400	2	2.2	3.4	7.2	16.8	15.5	9.9	7.3
200	600	1.8	2	3.1	6.8	15.5	14.1	9.4	7.1
250	250	2.1	2.4	3.6	7.4	17.6	16.3	10.2	7.4
250	400	1.8	1.9	3.1	6.7	15.2	13.8	9.3	7
250	500	1.7	1.8	2.9	6.5	14.4	13	9	6.9
250	600	1.7	1.7	2.8	6.3	13.9	12.4	8.7	6.8
300	300	1.8	2	3.1	6.8	15.5	14.1	9.4	7.1
300	400	1.7	1.8	2.9	6.4	14.1	12.7	8.9	6.9
300	600	1.6	1.6	2.6	5.9	12.7	11.2	8.3	6.6
300	800	1.4	1.5	2.5	5.8	12.1	10.5	8	6.6
400	400	1.6	1.6	2.6	5.9	12.7	11.2	8.3	6.6
400	600	1.2	1.3	2.3	5.5	11.3	9.8	7.7	6.4
400	800	1.1	1.2	2.1	5.2	10.5	9	7.3	6.3
400	1000	1	1.1	2	5	10	8.5	7.1	6.2
500	500	1.2	1.3	2.2	5.4	11	9.5	7.5	6.4
500	600	1.1	1.2	2.1	5.2	10.3	8.8	7.2	6.2
500	800	1	1	1.9	4.8	9.5	8	6.9	6.1
500	1000	0.9	0.9	1.8	4.7	9	7.5	6.6	6
600	600	1	1.1	1.9	4.9	9.7	8.2	6.9	6.1
600	800	0.9	0.9	1.7	4.6	8.8	7.3	6.5	5.9
600	1200	0.8	0.8	1.5	4.2	7.9	6.5	6.1	5.7
600	1600	0.7	0.7	1.4	4.1	7.5	6.1	5.8	5.6
800	800	0.8	0.8	1.5	4.2	7.9	6.5	6.1	5.7
800	1000	0.7	0.7	1.4	4	7.4	6	5.8	5.6
800	1200	0.6	0.6	1.3	3.9	7	5.6	5.6	5.5
800	1600	0.6	0.6	1.2	3.7	6.5	5.2	5.3	5.4
1000	1000	0.6	0.6	1.3	3.8	6.8	5.4	5.5	5.5
1000	1200	0.6	0.6	1.2	3.6	6.4	5.1	5.3	5.3
1000	1600	0.5	0.5	1.1	3.4	5.9	4.6	5	5.2
1000	2000	0.5	0.5	1	3.3	5.5	4.3	4.8	5.1
1200	1200	0.5	0.5	1.1	3.4	6	4.7	5.1	5.2
1200	1600	0.5	0.5	1	3.2	5.4	4.2	4.8	5.1
1200	2000	0.4	0.4	0.9	3.1	5.1	3.9	4.6	5
1200	2400	0.4	0.4	0.9	3	4.9	3.7	4.4	4.9
*50 R		63	125	250	500	1000	2000	4000	8000
100	100	11.8	12.6	14.8	24.4	33.1	34	15.4	9
100	150	8.5	9.9	12.8	22.3	29.2	29.4	14.2	8.6
100	200	7.1	8.6	11.7	21.2	27.1	27	13.5	8.4
100	250	6.4	7.9	11.1	20.5	25.9	25.5	13.1	8.3
150	150	5.9	7.4	10.7	20	25	24.6	12.8	8.2
150	250	4.2	5.6	9	17.9	21.4	20.6	11.6	7.8
150	300	3.9	5.1	8.5	17.3	20.5	19.5	11.3	7.7
150	400	3.4	4.6	8	16.6	19.3	18.2	10.9	7.6
200	200	3.9	5.1	8.5	17.3	20.5	19.5	11.3	7.7
200	300	3.1	4.1	7.4	15.9	18.1	16.9	10.4	7.4
200	400	2.7	3.7	6.8	15.1	16.8	15.5	9.9	7.3
200	600	2.4	3.2	6.2	14.2	15.5	14.1	9.4	7.1
250	250	2.9	3.9	7.2	15.5	17.6	16.3	10.2	7.4
250	400	2.4	3.1	6.1	14	15.2	13.8	9.3	7
250	500	2.2	2.9	5.7	13.5	14.4	13	9	6.9
250	600	2.1	2.7	5.5	13.1	13.9	12.4	8.7	6.8
300	300	2.4	3.2	6.2	14.2	15.5	14.1	9.4	7.1
300	400	2.2	2.8	5.6	13.3	14.1	12.7	8.9	6.9
300	600	2	2.4	5	12.3	12.7	11.2	8.3	6.6
300	800	1.6	2.2	4.8	11.9	12.1	10.5	8	6.6
400	400	2	2.4	5	12.3	12.7	11.2	8.3	6.6
400	600	1.5	2	4.4	11.4	11.3	9.8	7.7	6.4
400	800	1.3	1.7	4	10.8	10.5	9	7.3	6.3
400	1000	1.2	1.6	3.8	10.4	10	8.5	7.1	6.2
500	500	1.4	1.9	4.3	11.1	11	9.5	7.5	6.4
500	600	1.3	1.7	4	10.7	10.3	8.8	7.2	6.2
500	800	1.1	1.5	3.6	10	9.5	8	6.9	6.1
500	1000	1	1.3	3.4	9.6	9	7.5	6.6	6
600	600	1.1	1.5	3.7	10.2	9.7	8.2	6.9	6.1
600	800	1	1.3	3.3	9.5	8.8	7.3	6.5	5.9
600	1200	0.8	1.1	2.9	8.8	7.9	6.5	6.1	5.7
600	1600	0.8	1	2.7	8.4	7.5	6.1	5.8	5.6
800	800	0.8	1.1	2.9	8.8	7.9	6.5	6.1	5.7
800	1000	0.8	1	2.7	8.3	7.4	6	5.8	5.6
800	1200	0.7	0.9	2.5	8	7	5.6	5.6	5.5
800	1600	0.6	0.8	2.3	7.6	6.5	5.2	5.3	5.4
1000	1000	0.7	0.8	2.4	7.8	6.8	5.4	5.5	5.5
1000	1200	0.6	0.8	2.3	7.5	6.4	5.1	5.3	5.3
1000	1600	0.6	0.7	2	7.1	5.9	4.6	5	5.2
1000	2000	0.5	0.6	1.9	6.8	5.5	4.3	4.8	5.1
1200	1200	0.6	0.7	2.1	7.2	6	4.7	5.1	5.2
1200	1600	0.5	0.6	1.9	6.7	5.4	4.2	4.8	5.1
1200	2000	0.5	0.5	1.7	6.4	5.1	3.9	4.6	5
1200	2400	0.4	0.5	1.7	6.2	4.9	3.7	4.4	4.9
