*Diameter	Angle	63	125	250	500	1000	2000	4000	8000
305	0	0	0	0	0	0	0	0	0
305	15	0	0	0	0	0	0	-4	-1
305	30	0	0	0	-1	-2	0	-6	-3
305	45	-1	-1	-1	-2	-4	-4	-10	-8
305	50	-1	-2	-2	-3	-7	-8	-13	-12
305	75	0	-1	-2	-4	-9	-11	-15	-15
305	90	-2	-3	-4	-6	-12	-16	-22	-23
305	105	-1	-2	-4	-6	-13	-19	-26	-28
305	120	-3	-4	-6	-9	-16	-22	-30	-31
305	135	-2	-3	-5	-8	-15	-22	-30	-32
305	150	-3	-4	-6	-8	-17	-22	-31	-31
305	165	-5	-5	-7	-10	-18	-24	-33	-34
610	0	0	0	0	0	0	0	0	0
610	15	-1	0	-1	-1	-2	-5	-6	-6
610	30	-1	0	-1	-3	-5	-5	-8	-9
610	45	-2	-1	-2	-6	-8	-10	-11	-12
610	50	-2	-1	-4	-8	-10	-13	-15	-18
610	75	-2	-2	-6	-10	-14	-19	-22	-25
610	90	-2	-3	-7	-12	-16	-22	-27	-31
610	105	-2	-3	-7	-13	-18	-24	-29	-33
610	120	-3	-3	-9	-14	-19	-24	-31	-36
610	135	-5	-3	-10	-14	-19	-26	-32	-36
610	150	-5	-4	-10	-14	-20	-27	-34	-38
610	165	-5	-4	-10	-15	-20	-28	-34	-39
914	0	0	0	0	0	0	0	0	0
914	15	0	-1	-1	-1	-3	-1	-1	-3
914	30	0	-2	-2	-3	-6	-7	-2	-7
914	45	0	-2	-4	-4	-8	-12	-7	-13
914	50	0	-3	-7	-8	-11	-14	-11	-19
914	75	-1	-3	-9	-11	-14	-18	-15	-24
914	90	-2	-5	-12	-14	-18	-22	-22	-31
914	105	-4	-6	-14	-16	-20	-23	-25	-34
914	120	-4	-6	-14	-16	-20	-23	-25	-34
914	135	-5	-9	-17	-19	-20	-25	-27	-36
914	150	-5	-10	-20	-20	-20	-26	-28	-37
914	165	-6	-11	-20	-20	-22	-27	-29	-38
